COMPLEX 105
//ObjectID DX DY Radius #ANIMATION pause amount_of_layers z0(ZBuffer_start) Dz(ZBuffer_Dz) 
//For new fields:
//ID 64 64 Radius #FIELDPATH Width Height GrowStage YScale
FW1  64 64 30 #DRUBAPL 1 0 255 210
FW2  64 64 30 #DRUBAPL 1 0 255 190
FW3  64 64 30 #DRUBAPL 1 0 255 170
FW4  64 64 30 #DRUBAPL 1 0 255 150
FW5  64 64 30 #DRUBAPL 1 0 220 130
FW6  64 64 30 #DRUBAPL 1 0 180 110
FW7  64 64 30 #DRUBAPL 1 0 160 90
FW8  64 64 30 #DRUBAPL 1 0 110 70
FW9  64 64 30 #DRUBAPL 1 0 90  50
FW10 64 64 30 #DRUBAPL 1 0 90  30
FW11  64 64 30 #DRUBAPL 1 0 90 10
TREED01 64 64 30 #TREES 1 0 90 10
