\\QUEST
#QuestItemsBug.NAME Bug
#QuestItemsBug Bug
#QuestItemsOrb.NAME Eye of Hartualon
#QuestItemsOrb Eye of Hartualon
#QuestItemsFlask.NAME Flask with water
#QuestItemsFlask Flask with water
#QuestItemsVint.NAME Screw
#QuestItemsVint Screw
#QuestItemsKey.NAME Key
#QuestItemsKey Key
#Key1.NAME Key
#Key1 Key
#Key2.NAME Key
#Key2 Key
#QuestItemsEgg.NAME Dragon egg
#QuestItemsEgg Dragon egg
#Key3.NAME Key
#Key3 Key
#Pearl1.NAME Gem of mechanics
#Pearl1 Gem of mechanics
#Pearl2.NAME Gem of coldness
#Pearl2 Gem of coldness
#Pearl3.NAME Gem of Sun
#Pearl3 Gem of Sun
#Pearl4.NAME Gem of death
#Pearl4 Gem of death

\\Headwear (8)
#Bracelet4 Used in the creation of:
#Bracelet5.NAME Bone bracelet
#Bracelet5 Used in the creation of:

#Bracelet6.NAME Fairy's bracelet
#Bracelet6 Used in the creation of:
#Bracelet7.NAME Bracer of defense
#Bracelet7 Used in the creation of: Cold Flame Bracelet
#Bracelet8.NAME Troll's blood bracelet
#Bracelet8 Used in the creation of:
#Bracelet9.NAME Bracelet with spikes
#Bracelet9 Opponents attacking the owner of the bracelet in melee receive 2 damage for each hit. The effect of the two bracelets is summed up.
#Bracelet10.NAME Sorcerer's bracelet
#Bracelet10 Used in the creation of:

#Bracelet12.NAME Druid's bracelet
#Bracelet12 Used in the creation of:
#Bracelet13.NAME Lightning bracelet
#Bracelet13 Used in the creation of: Cold Flame Bracelet
#Bracelet14.NAME Obsidian bracelet
#Bracelet14 The percentage increase increases only the basic protection.
#Bracelet15.NAME White Tower bracelet
#Bracelet15 Used in the creation of: Unicorn's bracelet
#Bracelet16.NAME Unicorn's bracelet
#Bracelet16 Increases the speed of movement of allies (by 8%) and magic defence (by 2) within a radius of 600. The aura effect does not add up. Does not add up with "Ring of wind power" aura.
#Bracelet11.NAME Cold Flame Bracelet
#Bracelet11 Cold Flame Bracelet

\\ Rings(32)

#Ring1.NAME Gold ring
#Ring1 Used in the creation of: Eagle helmet 
#Ring2.NAME Silver ring
#Ring2 Used in the creation of: Eagle helmet 
#Ring3.NAME Ring with ruby
#Ring3 Used in the creation of:
#Ring4.NAME Ring with sapphire
#Ring4 Used in the creation of:
#Ring5.NAME Ring with topaz
#Ring5 Used in the creation of:
#Ring6.NAME Apprentice's ring
#Ring6 Used in the creation of: Mage Ring, Cold Flame Bracelet
#Ring7.NAME Ring with skull
#Ring7 Summons a skeleton for 40 seconds every 10 seconds. The effects of multiple rings are summed up.
#Ring8.NAME Orc's ring
#Ring8 Used in the creation of:
#Ring9.NAME Dead man's ring
#Ring9 Used in the creation of: Sorcerer's Ring
#Ring10.NAME Troll's ring
#Ring10 Used in the creation of: Master bowman's ring
#Ring11.NAME Lich's ring
#Ring11 Units within a radius of 600 around the hero lose protection from everything. The effects of multiple rings do not add up.
#Ring12.NAME Stone ring
#Ring12 Used in the creation of: Ring of protection, Master bowman's ring

#Ring13.NAME Ring of regeneration
#Ring13 Used in the creation of: Living armor, Belt of endurance, Life Champion's cloak
#Ring15.NAME Ring of protection
#Ring15 Used in the creation of: Black legion belt
#Ring16.NAME Warrior's Ring
#Ring16 Used in the creation of: Gloves of bear's might, Ring of power
#Ring17.NAME Mage Ring
#Ring17 Used in the creation of: Sorcerer's robe, Irneate sandals, Ring of magic
#Ring18.NAME Lapis-lazuli ring
#Ring18 Used in the creation of:

#Ring14.NAME Sorcerer's Ring
#Ring14 Used in the creation of: Alchemist's gloves, Druid's shoes, Battle mage's ring
#Ring19.NAME Dragon's ring
#Ring19 Used in the creation of: Dragon's helmet, Dragon gloves, Dragon's shoes
#Ring20.NAME Ring of luck
#Ring20 Used in the creation of: Bjorn's full armor, Cheetah skin shoes
#Ring21.NAME Bone ring
#Ring21 Opponents attacking the owner of the ring in melee receive 1 damage for each hit. The effect of multiple rings is summed up.
#Ring22.NAME Black ring
#Ring22 Increases the damage (+2) and defense (+1) of the allies around. The radius of action is 600. The aura effect from several rings does not add up.
#Ring25.NAME Master bowman's ring
#Ring25 Used in the creation of:

#Ring23.NAME Ring of wind power
#Ring23 Increases the speed of movement of allies by 5% within a radius of 600. The effect of the speed aura from multiple rings does not add up. The aura effect does not add up. Does not add up with "Unicorn's bracelet" aura.
#Ring24.NAME Wanderer's ring
#Ring24 Used in the creation of: Snake's belt
#Ring26.NAME Battle mage's ring
#Ring26 Used in the creation of:
#Ring27.NAME Ring of magic
#Ring27 Used in the creation of: Cloak of great rains, Cloak of invisibility
#Ring28.NAME Ring of life
#Ring28 Increases the health of allied Heroes, summoned creatures, and Illusions by 50 within a radius of 600. The effect does not add up.
#Ring29.NAME Ring of power
#Ring29 Used in the creation of:

#Ring30.NAME Flame rim
#Ring30 The owner passively sets enemies on fire every second (within a radius of 150 around him), dealing 15 pure damage to units and 38 heroes. The fire effect does not add up from multiple rings.
#Ring31.NAME Soulcatcher
#Ring31 The Soul Catcher consumes the souls of warriors who have died within an 800 radius around the hero. Souls are absorbed 2 minutes after the death of the enemy, during which time the ring owner increases mana regeneration by 1 for each soul, after the absorption of the increase disappears. The effect cannot be dispelled. The effect of multiple rings does not add up.
#Ring32.NAME Dragon's heart
#Ring32 "Dragon's heart" increases health regeneration by 3 for every 5% of missing health. The effect cannot be dispelled. The unique regeneration effect of missing health does not add up from multiple rings.

#Run Run
\\Unreleased

#Ring33.NAME Wedding Ring
#Ring33 Wedding Ring
Obsidian ring
Blood Soul Catcher

\\ Bows(Ranger)(8)

#Weapon1.NAME Long hunter's bow
#Weapon1 Long hunter's bow
#Weapon2.NAME Elven yew-bow
#Weapon2 Elven yew-bow
#Weapon3.NAME Ancient bow
#Weapon3 Ancient bow
#Weapon4.NAME Whalebone
#Weapon4 Whalebone
#Weapon5.NAME Ranger's bow
#Weapon5 Ranger's bow
#Weapon6.NAME Sniper's bow
#Weapon6 Sniper's bow
#Weapon7.NAME Death avenger
#Weapon7 Death avenger\ Attack Modifier:\Your attacks with a 50% chance deal damage twice.
#Weapon8.NAME Enthralled wind
#Weapon8 Enthralled wind\ Attack Modifier:\Your attacks with a 50% chance deal damage twice.\_________________\Attack Modifier:\Your attacks slow down your movement speed (10%) and attack speed (5%) by 5 seconds. within a radius of 20. The effects add up. Reduces the projectile's flight speed from 1800 to 1100

\\ Blades(for Elhant in the company)(8)

#WeaponMelee1.NAME Elven long sword
#WeaponMelee1 Elven long sword
#WeaponMelee2.NAME Elven saber
#WeaponMelee2 Elven saber
#WeaponMelee3.NAME Balanced sword
#WeaponMelee3 Balanced sword
#WeaponMelee4.NAME Enhanced blade
#WeaponMelee4 Enhanced blade
#WeaponMelee5.NAME Master's sword
#WeaponMelee5 Master's sword
#WeaponMelee6.NAME Saber of dragon bone
#WeaponMelee6 Saber of dragon bone
#WeaponMelee7.NAME Rune sword
#WeaponMelee7 Rune sword
#WeaponMelee8.NAME Ak'lail's liana sprout
#WeaponMelee8 Ak'lail's liana sprout

\\ Spears(Amazonia)(8)

#DruHamaWeaponMelee1 Centaur's spear
#DruHamaWeaponMelee2 Spear of dead tree
#DruHamaWeaponMelee3 Infantry spear
#DruHamaWeaponMelee4 Ent's spear
#DruHamaWeaponMelee5 Amazon's spear
#DruHamaWeaponMelee6 Enhanced spear
#DruHamaWeaponMelee7 Lightning
#DruHamaWeaponMelee8.NAME Seal-ring of fate
#DruHamaWeaponMelee8 Seal-ring of fate\ Attack Modifier:\Attacks with Seal-ring of fate with a 20% chance impose root for 0.8 sec + 0.032 sec/lvl. During immobility units lose 60% of their defense against magic..

\\ Staffs(Druid)(8)

#DruStaffWeapon1 Oak staff
#DruStaffWeapon2 Willow staff
#DruStaffWeapon3 Ash tree staff
#DruStaffWeapon4 Ent's staff
#DruStaffWeapon5 Druid's staff
#DruStaffWeapon6 Staff of elements
#DruStaffWeapon7 Spirits staff
#DruStaffWeapon8.NAME Forest might
#DruStaffWeapon8 Forest might\ Attack Modifier:\An opponent attacked by a druid becomes weaker (-30% from current magic defense, -2 attack, -15% movement speed). The effect lasts for 4 seconds. The effects add up.

\\ Braids(Death Knight)(8)

#UndScytheWeapon1 СOld scythe
#UndScytheWeapon2 Dead man's sickle
#UndScytheWeapon3 Naginata
#UndScytheWeapon4 Black scythe
#UndScytheWeapon5 Demon's tongue
#UndScytheWeapon6 Madman's scythe
#UndScytheWeapon7 Naginata of fury
#UndScytheWeapon8.NAME Reaper
#UndScytheWeapon8 Reaper\ Attack Modifier:\"Reaper" attacks absorb all of the target's health regeneration for 16 seconds. "Reaper" gives the Death Knight one charge for each attack that increases health regeneration (+12) for 16 seconds.The effects add up. The effect on the Death Knight cannot be dispelled.  Death Mask does not disable regeneration from Reaper's Gift.

\\ Claws(Vampiress)(8)

#UndClawsWeapon1 Ghoul's claws
#UndClawsWeapon2 Wolfhound's claws
#UndClawsWeapon3 Bear's claws
#UndClawsWeapon4.NAME Poisonous claws
#UndClawsWeapon4 Poisonous claws\ Attack Modifier:\Your attacks poison the target by dealing periodic damage and slowing it down by 20%. The effects add up.
#UndClawsWeapon5 Manticore's claws
#UndClawsWeapon6 Demon's claws
#UndClawsWeapon7 Dragon's claws
#UndClawsWeapon8.NAME Death clutch
#UndClawsWeapon8 Death clutch\ Attack Modifier:\Your attacks have a 30% chance to stun targets for 1 second.\Vampirism: 10% of the damage done by the hero is added to his health.

\\ Wands(Lich)(8)

#UndRodWeapon1 Bone wand
#UndRodWeapon2 Skull rod
#UndRodWeapon3 Necromancer's wand
#UndRodWeapon4 Rune wand
#UndRodWeapon5 Obsidian wand
#UndRodWeapon6 Dragon's wand
#UndRodWeapon7 Wand of anger
#UndRodWeapon8.NAME Pestilence
#UndRodWeapon8 Pestilence\ Attack Modifier:\Your attacks with a 25% chance infect the disease for 5 seconds, causing the target to slow down by 80% and take 4 damage every 0.25 seconds, Every second the disease spreads to the other two units with a 25% chance.

\\ Rods (Flame Master)

#SolHPyrWeapon1 Magic Cane
#SolHPyrWeapon2 Battle Rod
#SolHPyrWeapon3 Ray Rod
#SolHPyrWeapon4 Moonlight
#SolHPyrWeapon5 The Sun Wand
#SolHPyrWeapon6 Fire Five-Pronger
#SolHPyrWeapon7 Rod of the Dead
#SolHPyrWeapon8.NAME Caduceus
#SolHPyrWeapon8 Caduceus\ Attack Modifier:\Caduceus attacks reduce the target's regeneration (-2) and defense against magic (-4), if the target is undead or demon forces, their attack power is further reduced (-2). The duration of the effect is 20 seconds.\_________________\Attack Modifier:\Caduceus attacks increase the owner's regeneration (+2) and magic protection (+4). The duration of the effect is 20 seconds

\\ Staffs(High Priest)

#SolHArcWeapon1.NAME Last Light
#SolHArcWeapon2.NAME Wandering Soul
#SolHArcWeapon3.NAME Fiery Lash
#SolHArcWeapon4.NAME Blood Soul
#SolHArcWeapon1 Last Light
#SolHArcWeapon2 Wandering Soul
#SolHArcWeapon3 Fiery Lash
#SolHArcWeapon4 Blood Soul\ Vampirism: 10% of the damage done by the hero is added to his health.
#SolHArcWeapon5.NAME Staff of the All-seeing Sun
#SolHArcWeapon6.NAME Staff of Blue Flame
#SolHArcWeapon5 Staff of the All-seeing Sun
#SolHArcWeapon6 Staff of Blue Flame
#SolHArcWeapon7.NAME Staff of Fiery 
#SolHArcWeapon7 Staff of Fiery\ Vampirism: 10% of the damage done by the hero is added to his health.
#SolHArcWeapon8.NAME Fire Runner
#SolHArcWeapon8 Fire Runner\ Attack Modifier:\Your attacks with a 20% chance cause your opponents to get scared and run away with increased speed (+30%) for 1.5 seconds

\\ Morgensterns Ahah:D(Gladiator) 

#SolHGlaWeapon1 Flail
#SolHGlaWeapon2 Battle Morgenstern
#SolHGlaWeapon3 Sun glare
#SolHGlaWeapon4 Double threat
#SolHGlaWeapon5 Lash of Pain
#SolHGlaWeapon6 Spiked Skull
#SolHGlaWeapon7 Fiery Death
#SolHGlaWeapon8.NAME Crusher
#SolHGlaWeapon8 Crusher\ Attack Modifier:\Your attacks damage the physical armor of the targets: -100% protection against piercing, crushing and slashing, the duration of the effect is 22 seconds.

\\ Bottles(one use)(34)

#Bottle1 Mana Decoction
#Bottle2 Health Decoction
#Bottle3 Recovery decoction
#Bottle4 Recoveres 3 health units per second. The duration of the action is 40 seconds.
#Bottle5 Recoveres 3 mana units per second. The duration of the action is 40 seconds.
#Bottle6 The duration of the action is 40 seconds.
#Bottle7.NAME Vision Decoction
#Bottle7 Also allows you to see invisible units within 1200 radius. The duration of the action is 60 seconds.
#Bottle8 The duration of the action is 40 seconds.
#Bottle9 Your attacks poison the target, slowing it down by 20% for 4 seconds (target takes periodic damage as well). Gives area damage within 40 radius for close range and 30 for long range. The duration of the action is 40 seconds.
#Bottle10 Mana Potion
#Bottle11 Health Potion
#Bottle12 Recovery potion
#Bottle13 Restores 6 health units per second. Lasts 44 seconds.
#Bottle14 Restores 6 mana per second. Life duration: 44 seconds.
#Bottle15  Invisibility cannot be resolved. The duration of the action is 40 seconds.
#Bottle16 The duration of the action is 40 seconds.
#Bottle17 Gives area damage within a range of 50 for melee and 40 for ranged. The duration of the action is 40 seconds.
#Bottle18 Mana Elixir
#Bottle19 Health Elixir
#Bottle20 Elixir of Restoration
#Bottle21 Restores 10 health units per second. Lasts 45 seconds.
#Bottle22 Restores 10 mana per second. Lasts 45 seconds.
#Bottle23 Lasts 30 seconds.
#Bottle24 Damages an area within a range of 50 for melee and 40 for ranged. The duration of the action is 40 seconds.
#Bottle25 Removes all effects, even positive ones.
#Bottle26 Warrior's Elixir
#Bottle27 Elixir of Magic
#Bottle28 Elixir of Life
#Bottle29 Elixir of Fortitude
#Bottle30 Removes area damage and all attack modifiers. Effect duration 60 seconds.
#Bottle31 Need new effect
#Bottle32 Elixir of Agility
#Bottle33 Psychic Elixir
#Bottle34 Veteran Elixir
#Bottle1.NAME Mana Potion
#Bottle2.NAME Health Decoction
#Bottle3.NAME Recovery Potion
#Bottle4.NAME Potion of Regeneration
#Bottle5.NAME Meditation Decoction
#Bottle6.NAME Potion of Speed
#Bottle7.NAME Potion of Vision
#Bottle8.NAME Healing Potion
#Bottle9.NAME Poison Bottle
#Bottle10.NAME Mana Potion
#Bottle11.NAME Health Potion
#Bottle12.NAME Recovery Potion
#Bottle13.NAME Regeneration Potion
#Bottle14.NAME Meditation Potion
#Bottle15.NAME Invisibility Potion
#Bottle16.NAME Stonecoat Decoction
#Bottle17.NAME Alchemist's Fire
#Bottle18.NAME Elixir of Mana
#Bottle19.NAME Elixir of Health
#Bottle20.NAME Elixir of Recovery
#Bottle21.NAME Elixir of Regeneration
#Bottle22.NAME Meditation Elixir
#Bottle23.NAME Dodge Potion
#Bottle24.NAME Rattlesnake Potion
#Bottle25.NAME Absorption Magic Elixir
#Bottle26.NAME Warrior Elixir
#Bottle27.NAME Elixir of Magic
#Bottle28.NAME Elixir of Life
#Bottle29.NAME Elixir of Fortitude
#Bottle30.NAME Berserker Elixir
#Bottle31.NAME Elixir of Immortality
#Bottle32.NAME Elixir of Agility
#Bottle33.NAME Elixir of clairvoyance
#Bottle34.NAME Veteran Elixir
#BottleDM2.NAME Rattlesnake Potion
#BottleDM2 Rattlesnake Potion
#BottleDM5.NAME Rattlesnake Potion
#BottleDM5 Rattlesnake Potion
#BottleHP50.NAME Health potion
#BottleHP50 Health Decoction
#BottleHP100.NAME Health Decoction
#BottleHP100 Health Decoction

\\ArchMage(ICE)
#IceHArcWeapon1.NAME Wizard's rod
#IceHArcWeapon1 Wizard's rod
#IceHArcWeapon2.NAME Shaman's staff
#IceHArcWeapon2 Shaman's staff
#IceHArcWeapon3.NAME Apprentice's wand
#IceHArcWeapon3 Apprentice's wand
#IceHArcWeapon4.NAME Sorcerer's staff
#IceHArcWeapon4 Sorcerer's staff
#IceHArcWeapon5.NAME Conjurer's staff
#IceHArcWeapon5 Conjurer's staff
#IceHArcWeapon6.NAME Mage's staff
#IceHArcWeapon6 Mage's staff
#IceHArcWeapon7 Warlock's staff
#IceHArcWeapon7.NAME Warlock's staff
#IceHArcWeapon8.NAME Archmage staff
#IceHArcWeapon8 Archmage staff\ Attack Modifier:\Your attacks slow down your movement speed (15%) and attack speed (15%) for 5 seconds. within a radius of 70. The effects add up. Increases the projectile's flight speed from 500 to 700.

\\Varvar(ICE)
#IceHBarWeapon1.NAME Warrior's swords
#IceHBarWeapon1 Warrior's swords
#IceHBarWeapon2.NAME Short-swords
#IceHBarWeapon2 Short-swords
#IceHBarWeapon3.NAME Slayers swords
#IceHBarWeapon3 Slayers swords
#IceHBarWeapon4.NAME Enhanced swords
#IceHBarWeapon4 Enhanced swords
#IceHBarWeapon5.NAME Chieftain's blades
#IceHBarWeapon5 Chieftain's blades
#IceHBarWeapon6.NAME Night blades
#IceHBarWeapon6 Night blades
#IceHBarWeapon7.NAME Kindred brothers
#IceHBarWeapon7 Kindred brothers\ Vampirism: 10% of the damage done by the hero is added to his health.
#IceHBarWeapon8.NAME Swords of insanity
#IceHBarWeapon8 Swords of insanity\ Attack Modifier:\Each attack increases the barbarian's damage (by 6) and attack speed (by 2%). The duration of a single charge is 13 seconds. The effect adds up. The effect cannot be dispelled.

\\Valkiriya(ICE)
#IceHValWeapon1.NAME Wind
#IceHValWeapon1 Wind
#IceHValWeapon2.NAME Hail
#IceHValWeapon2 Hail
#IceHValWeapon3.NAME Night
#IceHValWeapon3 Night
#IceHValWeapon4.NAME Thunderstorm
#IceHValWeapon4 Thunderstorm
#IceHValWeapon5.NAME Hurricane
#IceHValWeapon5 Hurricane
#IceHValWeapon6.NAME Gale
#IceHValWeapon6 Gale
#IceHValWeapon7.NAME Tornado
#IceHValWeapon7 Tornado
#IceHValWeapon8.NAME Lightning
#IceHValWeapon8 Lightning\ Attack Modifier:\Your attacks summon a lightning bolt that strikes one target and deals an additional 1/3lvl of pure damage.

\\Artificer
#MecHArtWeapon1 Blacksmith's hammer
#MecHArtWeapon2 Battle hammer
#MecHArtWeapon3 Maul
#MecHArtWeapon4 Master's hammer
#MecHArtWeapon5 Giant's hammer
#MecHArtWeapon6 Thunder clap
#MecHArtWeapon7.NAME Technohammer
#MecHArtWeapon7 Technohammer\ Attack Modifier:\Your attacks stun targets for 1 second. with a 30% chance.
#MecHArtWeapon8.NAME Hammer of Mountain Kings 
#MecHArtWeapon8 Hammer of Mountain Kings\ Attack Modifier:\Your attacks increase crushing damage by 5 (lasts 18 seconds, cannot be dispelled) and reduce opponents' defense against crushing damage by 5 (lasts 18 seconds, can be dispelled).

#MecHEnfWeapon1 Marksman's musket
#MecHEnfWeapon2 Old musket (Only ranged combat)
#MecHEnfWeapon3 Hunting musket
#MecHEnfWeapon4 Sniper musket
#MecHEnfWeapon5 Fashion musketы
#MecHEnfWeapon6 Hand gun(Only ranged combat)
#MecHEnfWeapon6 Hand gun(Only ranged combat)\ Attack Modifier:\ Replaces the projectile of the shot with a core flying at a speed of 600. Your shots deal damage within a radius of 60.
#MecHEnfWeapon8.NAME Musket of Mechanius
#MecHEnfWeapon8 Musket of Mechanius\ Attack Modifier:\ Replaces the projectile of the shot with a core flying at a speed of 1500. Your shots deal damage within a radius of 50.

#MecHGeoWeapon1 Copper scepter
#MecHGeoWeapon2 Bronze scepter
#MecHGeoWeapon3 Iron scepter
#MecHGeoWeapon4 Silver scepter
#MecHGeoWeapon5 Golden scepter
#MecHGeoWeapon6 Ruby scepter
#MecHGeoWeapon7.NAME Emerald scepter
#MecHGeoWeapon7 Emerald scepter\ Attack Modifier:\Your attacks poison the target by dealing periodic damage and slowing it down by 20%. The effects add up.
#MecHGeoWeapon8.NAME Mithril scepter
#MecHGeoWeapon8 Mithril scepter\Attack Modifier:\Your attacks have a 20% chance of stunning your opponents for 2 seconds. Increases the projectile's flight speed from 500 to 700

//Types of weapons
#Treasure_Weapon_1.NAME Level 1 weapons
#Treasure_Weapon_1 Level 1 weapons are cheaper than mud
#Treasure_Weapon_2.NAME 2nd level weapon
#Treasure_Weapon_2 2nd level weapon - cheap junk
#Treasure_Weapon_3.NAME 3rd level weapon
#Treasure_Weapon_3 3rd level weapon - novice's choice
#Minor_Weapon_1.NAME 4th level weapon
#Minor_Weapon_1 4th level weapon is efficient to fight with
#Minor_Weapon_2.NAME 5th level weapon
#Minor_Weapon_2 5th level weapon - usual weapon
#Major_Weapon_1.NAME 6th level weapon
#Major_Weapon_1 6th level weapon - optimum
#Major_Weapon_2.NAME 7th level weapon
#Major_Weapon_2 7th level weapon - watch out: don't lose it!
#Relic_Weapon.NAME 8th level weapon
